,tweets
1644, hoy pedí un taxi me cobraron por débito nunca llegó el taxi por último cancelaron nunca devolvieron el valor maldita manía de cobrar sin dar el servicio
1645, claro que da empleo desde hace tiempo existe el taxismo ilegal cuál es el porcentaje que cobran uber cabify sus socios ese dinero que cobran en donde se queda en ecuador sale una operadora internacional 
1646, como sobreviven los conductores de con esas tarifas tan miserables 
1647, hey didn know you guys allowed drivers to ask clients if we re paying in cash if we re not you get canceled by them very professional this cost be mins late to my job uber ecuador 
1651, la misma pendejada son
1652, indriver es todo 
1653,hoy robaron la informacion de mi esposa hicieron un pedido en ya se reporto al banco pero espero la gentileza de uber para rastrear el pedido dar con los ladrones 
1654, lo sé pero ni cojuda voy cancelar yo 
1655, no les importa amiga
1656,sus conductores cada día son peores 
1657,una raya más al tigre para 
1658,porque aveces un viaje en debe ser un martirio ignorar que uno debe responder una llamada sin música ballenato bachata de cualquier otro género odio un partido de fútbol todo volumen es una falta de consideración
1659, tienes hambre obtén de descuento en tu primer pedido con uber eats de más se aplican términos usa mi código al momento de pagar eats tzmda 
1660,sr manda decir que por favor pague las alícuotas que así no sea longo debe pagar usted también digo vos también yo de ud digo de vos pido un préstamos la se pone digo te pones unas horitas de paga digo pagas ve mijín 
1661, no way he deserves ballon or for stat padding vs ecuador and bolivia it would have made sense if he atleast contributed in final instead of ghosting and missing sitters and it given on year basis shame if it given to player out of top uber eats farmers league
1662, realice un viaje hace minutos con su app como siempre pague mi viaje en efectivo el conductor indicó en la app que no pague completo me dejo un valor pendiente necesito una solución eso urgente 
1663, cabify es diez veces mejor no entiendo por qué alguien seguiría usando uber en ecuador en serio me da curiosidad 
1664,cuando el vehículo demora más de lo que indica la aplicación de al cliente lo multan pero multan al conductor que cancela cerca de llegar al punto solicitado después de minutos que suspendan quién ve por el cliente 
1665, jajaja pues sí
1666, pues muy mal para la próxima se le contesta su carro no es suficientemente grande como para pagar más es que pues 
1667, lo reporté en no sirvió de nada
1668, repórtalo bloquéalo para que no te vuelva tocar cómo si uno escogiera el pago 
1669, hora el presidente de ecuador cojera uber que menso
1670, hola hace unos días tomé un viaje pagué en efectivo el problema es que en la app me sale que el conductor puso que no le pagué nada del viaje lo cual no es verdad intento buscar la forma de escribirles por la app pero la opción no está ayuda 
1671, hi have little problem few days ago took trip and payed in cash but the driver lied and tell uber that didn pay m trying to text you guys in the app but can find the option to text you directly pls help uber ecuador 
1672,señores su aplicación está defectuosa se salta de buscar viaje la página principal se realizan los débitos la tarjeta de débito a pesar de que su app cancela el viaje no se reversan los débitos de la cuenta por lo que claramente esto constituye un robo 
1673,los servicios de apps de taxis en esta ciudad están igual de mier que los taxis amarillos hoy pedí un para ir fisioterapia un conductor me acepta la ruta después de esperarlo casi minutos me la canceló en ese momento se soltó el aguacero en quito 
1674,no puedo recuperar un objeto perdido que deshonestidad por parte de los socios conductores necesito contesten mi pedido
1675, no sé como funcione en ecuador pero hay que tener mucho cuidado con eso de las tarifas dinámicas revisando primero el valor del ride acá en usa es lo mismo por ejm los sábados en la madrugada esos precios están por los cielos también me parece un abuso 
1676, imagínate 
1677, jajajajja wataaaafooooooc
1678, lo peor de todo te encuentras con esto 
1679,cuando el conductor de se confunde de plataforma piensa que está en indriver 
1681,el servicio de cada vez está peor
1682, señores que pena que no son lo mismo de antes muchos de sus conductores ya se han ido tomar una carrera con ustedes se ha vuelto una odisea los conductores aceptan al rato cancelan bien se demoran una eternidad que la acepten qué pasó 
1683, solo puedo trabajar en horas de la mañana en la noche no me permite conectar uber quisiera saber si existe algún bloqueo para la ciudad de machala ecuador 
1684, contestar mensajes internos urgente
1685, buenas noches desearia que revisen mi cuenta de conductor uber desde machala ecuador 
1686,soy cliente diaria de últimamente el servicio deja mucho qué decir al igual que el de pedidos domicilio una pena total 
1687,gracias por destruir mi familia mi trabajo les agradezco mucho un ciudadano más mendigar buscar lo peor para no sufrir 
1688,soy una persona trabajadora estoy sin empleo me dedicaba uber me detuvieron el carro por qué dicen es informal no tengo para sacar el carro de los patios gracias 
1689, el dia de hoy me cobraron una tarifa diferente la ofrecida en la app le pague en efectivo al conductor me termino cobrando una tarifa mayor he puesto un reclamo sin respuesta
1690,odio que me lleguen correos de promo de uber eats de ecuador ya no estoy allaaa denme de aquii vergaaa necesito promos de por aquiiii
1691, es un pésimo servicio el de ubereats el repartidor llamó una dola vez no iban ni de cerca los minutos de espera que deben tener segun ellos el pedido lo drjaron en la puerta lo que es falso porque de la foto que envían el lugar no corrsponde al sector 
1692, salgo trabajar también pierdo tiempo quedo mal con los clientes
1693, lo peor que cada sucede más seguido también uno pasa de minutos buscando vehiculo es mucho tiempo diferencia de antes se han vuelto exquisitos los conductores 
1694, si es una cagada cabify es la misma vaina aunque como es más generalizado el uso de tarjeta me ha ido mejor 
1695, como no contesto cancelan me tienen hueveando chch salgo trabajar
1696, tarjeta busca otro enseguida no des pie la sapada 
1697,la misma historia de siempre con 
1698, deberían hermano es su responsabilidad 
1699, ojalá le resuelvan el caso
1700, es una aplicación estafadora es la segunda vez que me ofrecen un descuento me sale aplicado al momento del checkout me da el total pagar con el descuento pago con mi tarjeta me doy cuenta por la notificación del banco que me cobraron completo 
1701, el servicio de transporte puerta puerta didi llega ecuador muestra el interés generado por los ecuatorinaos frente otras empresas como uber indrive 
1702,hola porque algunas peticiones entran con el nombre del destino otras solo dicen viaje de minutos ejemplo los cap 
1703, un servicio que no genera facturas los usuarios claramente una evasión fiscal de millones de dólares al ecuador he solicitado mis facturas desde junio sin respuesta solo dan largar cada mensaje 
1704, porque los identifican replop
1705, en algunos conductores preguntan si es el pago en efectivo tarjeta para cancelar el viaje favor más control al personal contratado 
1706, son una pendejada no puedo creer que no den ni una señal de ayuda después de haber reportado un robo usando su servicio de taxi 
1707,uber definitivamente ya no es una app útil en ecuador para pedir taxis tarifas excesivas conductores malcriados
1708, sostener la vida sostener la plataforma la explotación digital de las personas conductoras de uber en el mercado laboral por diana carolina salazar daza 
1709,hoy bajito me han cancelado unos porquería de servicio me hacen perder tiempo
1710, igual ya me descargué didi creo que ahorita es el que mejor servicio tarifas tiene 
1712, ahora es recurrente en subir la tarifa de inicio con recargos injustificados adicional de no generará factura por los servicios todo queda en envianos tu reclamo 
1713, la semana pasada me cobraron usd de la nada ahora tarifa post tarifa no entendieron la verdadera necesidad del transporte en el país
1714,sólo aquí en ecuador pasa eso porque en eeuu uber sólo cobra el fijo ya basta de tanto abuso de tanto robo como se le puede dar un buen servicio al cliente el carro se está matando depreciando tan rápido 
1715, así es se la pasan cobrando sin explicación
1716,la tarifa que pacte por la cual tomé para trasladar la nany de mis hijas fue de que fue debitada resulta que le debo usd uber sin saberlo 
1717,cuando nos quejábamos del taxismo por entre otras cosas adulterar el taxímetro cobrar demás en horas nocturnas llega con recargos extra post tarifa de pago eso sin contarles los débitos no autorizados que nunca tienen respuesta 
1718, sabes no me ha ido mal con didi el mismo servicio que uber
1719, excelente sevicio 
1720, uber no me deja pagar el ultimo pedido que deje para pagar despues en efectivo yo no tengo tarjeta de credito no me dejan pedir nada hasta que pague eso que quieren que haga que me cree una tarjeta solo para pagarles 
